name,pos,team,my_rank,my_tier
Ja'Marr Chase,WR,CIN,1,1
Saquon Barkley,RB,PHI,2,1
Jahmyr Gibbs,RB,DET,3,1
Bijan Robinson,RB,ATL,4,1
CeeDee Lamb,WR,DAL,5,1
Derrick Henry,RB,BAL,6,1
Justin Jefferson,WR,MIN,7,1
Nico Collins,WR,HOU,8,1
Christian McCaffrey,RB,SF,9,1
Amon-Ra St. Brown,WR,DET,10,1
Ashton Jeanty,RB,LV,11,1
Malik Nabers,WR,NYG,12,1
Puka Nacua,WR,LAR,13,2
Brock Bowers,TE,LV,14,2
Drake London,WR,ATL,15,2
Brian Thomas Jr.,WR,JAX,16,2
Trey McBride,TE,ARI,17,2
De'Von Achane,RB,MIA,18,2
A.J. Brown,WR,PHI,19,2
Jonathan Taylor,RB,IND,20,2
Josh Allen,QB,BUF,21,2
Lamar Jackson,QB,BAL,22,2
Chase Brown,RB,CIN,23,2
Ladd McConkey,WR,LAC,24,2
Jalen Hurts,QB,PHI,25,3
Jayden Daniels,QB,WAS,26,3
Josh Jacobs,RB,GB,27,3
Bucky Irving,RB,TB,28,3
Tyreek Hill,WR,MIA,29,3
Kyren Williams,RB,LAR,30,3
Mike Evans,WR,TB,31,3
Tee Higgins,WR,CIN,32,3
Omarion Hampton,RB,LAC,33,3
Jaxon Smith-Njigba,WR,SEA,34,3
George Kittle,TE,SF,35,3
James Cook,RB,BUF,36,3
Kenneth Walker III,RB,SEA,37,4
Davante Adams,WR,LAR,38,4
Marvin Harrison Jr.,WR,ARI,39,4
Alvin Kamara,RB,NO,40,4
Breece Hall,RB,NYJ,41,4
Terry McLaurin,WR,WAS,42,4
Garrett Wilson,WR,NYJ,43,4
Tetairoa McMillan,WR,CAR,44,4
James Conner,RB,ARI,45,4
Chuba Hubbard,RB,CAR,46,4
DJ Moore,WR,CHI,47,4
Jameson Williams,WR,DET,48,4
TreVeyon Henderson,RB,NE,49,5
George Pickens,WR,DAL,50,5
Jaylen Waddle,WR,MIA,51,5
Calvin Ridley,WR,TEN,52,5
Courtland Sutton,WR,DEN,53,5
David Montgomery,RB,DET,54,5
Joe Burrow,QB,CIN,55,5
DK Metcalf,WR,PIT,56,5
RJ Harvey,RB,DEN,57,5
Tony Pollard,RB,TEN,58,5
Isiah Pacheco,RB,KC,59,5
DeVonta Smith,WR,PHI,60,5
Xavier Worthy,WR,KC,61,6
Aaron Jones Sr.,RB,MIN,62,6
T.J. Hockenson,TE,MIN,63,6
Sam LaPorta,TE,DET,64,6
Zay Flowers,WR,BAL,65,6
Travis Hunter,WR,JAX,66,6
Mark Andrews,TE,BAL,67,6
D'Andre Swift,RB,CHI,68,6
Patrick Mahomes,QB,KC,69,6
Emeka Egbuka,WR,TB,70,6
Ricky Pearsall,WR,SF,71,6
Rashee Rice,WR,KC,72,6
Kyler Murray,QB,ARI,73,7
Matthew Golden,WR,GB,74,7
Jakobi Meyers,WR,LV,75,7
Bo Nix,QB,DEN,76,7
Chris Olave,WR,NO,77,7
Jordan Addison,WR,MIN,78,7
Justin Fields,QB,NYJ,79,7
Rome Odunze,WR,CHI,80,7
Jaylen Warren,RB,PIT,81,7
Deebo Samuel Sr.,WR,WAS,82,7
Brock Purdy,QB,SF,83,7
Jerry Jeudy,WR,CLE,84,7
Jauan Jennings,WR,SF,85,8
David Njoku,TE,CLE,86,8
Kaleb Johnson,RB,PIT,87,8
Michael Pittman Jr.,WR,IND,88,8
Tyrone Tracy Jr.,RB,NYG,89,8
Baker Mayfield,QB,TB,90,8
Travis Etienne Jr.,RB,JAX,91,8
Travis Kelce,TE,KC,92,8
Zach Charbonnet,RB,SEA,93,8
Jayden Reed,WR,GB,94,8
Tank Bigsby,RB,JAX,95,8
Drake Maye,QB,NE,96,8
Dak Prescott,QB,DAL,97,9
Evan Engram,TE,DEN,98,9
Rhamondre Stevenson,RB,NE,99,9
Khalil Shakir,WR,BUF,100,9
Darnell Mooney,WR,ATL,101,9
Tyler Warren,TE,IND,102,9
Jordan Love,QB,GB,103,9
Stefon Diggs,WR,NE,104,9
Tucker Kraft,TE,GB,105,9
Jordan Mason,RB,MIN,106,9
Caleb Williams,QB,CHI,107,9
Jacory Croskey-Merritt,RB,WAS,108,9
Rashid Shaheed,WR,NO,109,10
C.J. Stroud,QB,HOU,110,10
Josh Downs,WR,IND,111,10
Keenan Allen,WR,LAC,112,10
Justin Herbert,QB,LAC,113,10
Trevor Lawrence,QB,JAX,114,10
Cooper Kupp,WR,SEA,115,10
Cam Skattebo,RB,NYG,116,10
Colston Loveland,TE,CHI,117,10
Jared Goff,QB,DET,118,10
Christian Kirk,WR,HOU,119,10
Keon Coleman,WR,BUF,120,10
Nick Chubb,RB,HOU,121,11
Javonte Williams,RB,DAL,122,11
Dalton Kincaid,TE,BUF,123,11
Jake Ferguson,TE,DAL,124,11
Austin Ekeler,RB,WAS,125,11
Dallas Goedert,TE,PHI,126,11
Kyle Pitts,TE,ATL,127,11
Tyler Allgeier,RB,ATL,128,11
Chris Godwin,WR,TB,129,11
Luther Burden III,WR,CHI,130,11
Rashod Bateman,WR,BAL,131,11
Joe Mixon,RB,HOU,132,11
Braelon Allen,RB,NYJ,133,12
Jerome Ford,RB,CLE,134,12
J.K. Dobbins,RB,DEN,135,12
Rachaad White,RB,TB,136,12
Marvin Mims Jr.,WR,DEN,137,12
Hunter Henry,TE,NE,138,12
Brian Robinson Jr.,RB,SF,139,12
Romeo Doubs,WR,GB,140,12
Adam Thielen,WR,MIN,141,12
Joshua Palmer,WR,LAC,142,12
Quinshon Judkins,RB,CLE,143,12
Bhayshul Tuten,RB,JAX,144,12
Trey Benson,RB,ARI,145,13
Ray Davis,RB,BUF,146,13
Tyjae Spears,RB,TEN,147,13
Brandon Aiyuk,WR,SF,148,13
Tua Tagovailoa,QB,MIA,149,13
DeMario Douglas,WR,NE,150,13
Dylan Sampson,RB,CLE,151,13
Jaydon Blue,RB,DAL,152,13
Cedric Tillman,WR,CLE,153,13
J.J. McCarthy,QB,MIN,154,13
Michael Penix Jr.,QB,ATL,155,13
Will Shipley,RB,PHI,156,13
Isaac Guerendo,RB,SF,157,14
Ollie Gordon II,RB,MIA,158,14
Blake Corum,RB,LAR,159,14
Jayden Higgins,WR,ATL,160,14
Jonnu Smith,TE,PIT,161,14
Kyle Williams,WR,NE,162,14
Dameon Pierce,RB,HOU,163,14
Xavier Legette,WR,CAR,164,14
Rico Dowdle,RB,DAL,165,14
Zach Ertz,TE,WAS,166,14
Kendre Miller,RB,NO,167,14
Quentin Johnston,WR,LAC,168,14
Roschon Johnson,RB,CHI,169,15
Jaylen Wright,RB,MIA,170,15
Adonai Mitchell,WR,IND,171,15
Jalen Coker,WR,CAR,172,15
Wan'Dale Robinson,WR,NYG,173,15
Najee Harris,RB,PIT,174,15
Bryce Young,QB,CAR,175,15
Cam Ward,QB,TEN,176,15
Brenton Strange,TE,JAX,177,15
Marquise Brown,WR,KC,178,15
Isaiah Likely,TE,BAL,179,15
Kyle Monangai,RB,CHI,180,15
Sam Darnold,QB,SEA,181,16
Tre Harris,WR,CLE,182,16
DeAndre Hopkins,WR,TEN,183,16
Jalen McMillan,WR,TB,184,16
DJ Giddens,RB,IND,185,16
Chig Okonkwo,TE,TEN,186,16
Dalton Schultz,TE,HOU,187,16
Pat Bryant,WR,DEN,188,16
Matthew Stafford,QB,LAR,189,16
Woody Marks,RB,TEX,190,16
Dont’e Thornton,WR,BUF,191,16
Cade Otton,TE,TB,192,16
Darius Slayton,WR,NYG,193,17
Keaton Mitchell,RB,BAL,194,17
MarShawn Lloyd,RB,GB,195,17
Miles Sanders,RB,CAR,196,17
Anthony Richardson Sr.,QB,IND,197,17
Kareem Hunt,RB,CLE,198,17
Geno Smith,QB,SEA,199,17
Elic Ayomanor,WR,TEN,200,17
Pittsburgh Steelers,D/ST,PIT,201,17
Minnesota Vikings,D/ST,MIN,202,17
Baltimore Ravens,D/ST,BAL,203,17
Denver Broncos,D/ST,DEN,204,17
Houston Texans,D/ST,HOU,205,18
Philadelphia Eagles,D/ST,PHI,206,18
Seattle Seahawks,D/ST,SEA,207,18
Buffalo Bills,D/ST,BUF,208,18
Kansas City Chiefs,D/ST,KC,209,18
Los Angeles Chargers,D/ST,LAC,210,18
Detroit Lions,D/ST,DET,211,18
Los Angeles Rams,D/ST,LAR,212,18
Brandon Aubrey,K,DAL,213,18
Chris Boswell,K,PIT,214,18
Cameron Dicker,K,LAC,215,18
Jake Bates,K,DET,216,18
Ka'imi Fairbairn,K,HOU,217,19
Chase McLaughlin,K,TB,218,19
Wil Lutz,K,DEN,219,19
Jake Elliott,K,PHI,220,19
Evan McPherson,K,CIN,221,19
Tyler Bass,K,BUF,222,19
Harrison Butker,K,KC,223,19
Jason Sanders,K,MIA,224,19
