name,pos,team,platform_rank
Ja'Marr Chase,WR,CIN,1
Bijan Robinson,RB,ATL,2
CeeDee Lamb,WR,DAL,3
Jahmyr Gibbs,RB,DET,4
Justin Jefferson,WR,MIN,5
Amon-Ra St. Brown,WR,DET,6
Saquon Barkley,RB,PHI,7
Nico Collins,WR,HOU,8
Derrick Henry,RB,BAL,9
Josh Jacobs,RB,GB,10
Jonathan Taylor,RB,IND,11
Brian Thomas Jr.,WR,JAX,12
Ashton Jeanty,RB,LV,13
Malik Nabers,WR,NYG,14
Christian McCaffrey,RB,SF,15
Drake London,WR,ATL,16
Ladd McConkey,WR,LAC,17
Bucky Irving,RB,TB,18
Puka Nacua,WR,LAR,19
Chase Brown,RB,CIN,20
George Kittle,TE,SF,21
De'Von Achane,RB,MIA,22
Kyren Williams,RB,LAR,23
Brock Bowers,TE,LV,24
A.J. Brown,WR,PHI,25
Tee Higgins,WR,CIN,26
Jaxon Smith-Njigba,WR,SEA,27
James Cook,RB,BUF,28
Trey McBride,TE,ARI,29
Chuba Hubbard,RB,CAR,30
Garrett Wilson,WR,NYJ,31
Omarion Hampton,RB,LAC,32
Lamar Jackson,QB,BAL,33
Josh Allen,QB,BUF,34
Jayden Daniels,QB,WAS,35
Mike Evans,WR,TB,36
Tyreek Hill,WR,MIA,37
Marvin Harrison Jr.,WR,ARI,38
Jalen Hurts,QB,PHI,39
Terry McLaurin,WR,WAS,40
Alvin Kamara,RB,NO,41
Davante Adams,WR,LAR,42
DeVonta Smith,WR,PHI,43
James Conner,RB,ARI,44
Jaylen Waddle,WR,MIA,45
Courtland Sutton,WR,DEN,46
DK Metcalf,WR,PIT,47
DJ Moore,WR,CHI,48
Joe Burrow,QB,CIN,49
Kenneth Walker III,RB,SEA,50
Tony Pollard,RB,TEN,51
Breece Hall,RB,NYJ,52
Zay Flowers,WR,BAL,53
George Pickens,WR,DAL,54
David Montgomery,RB,DET,55
TreVeyon Henderson,RB,NE,56
D'Andre Swift,RB,CHI,57
Sam LaPorta,TE,DET,58
Patrick Mahomes II,QB,KC,59
Jameson Williams,WR,DET,60
Aaron Jones Sr.,RB,MIN,61
Tyrone Tracy Jr.,RB,NYG,62
Xavier Worthy,WR,KC,63
Bo Nix,QB,DEN,64
Calvin Ridley,WR,TEN,65
T.J. Hockenson,TE,MIN,66
Jaylen Warren,RB,PIT,67
Isiah Pacheco,RB,KC,68
RJ Harvey,RB,DEN,69
Ricky Pearsall,WR,SF,70
Jordan Mason,RB,MIN,71
Chris Olave,WR,NO,72
Jerry Jeudy,WR,CLE,73
Rome Odunze,WR,CHI,74
Tetairoa McMillan,WR,CAR,75
Justin Fields,QB,NYJ,76
Brock Purdy,QB,SF,77
Dak Prescott,QB,DAL,78
Mark Andrews,TE,BAL,79
Zach Charbonnet,RB,SEA,80
Travis Hunter,WR,JAX,81
Baker Mayfield,QB,TB,82
Travis Kelce,TE,KC,83
J.K. Dobbins,RB,DEN,84
Tucker Kraft,TE,GB,85
Jordan Addison,WR,MIN,86
Jared Goff,QB,DET,87
Jordan Love,QB,GB,88
Jerome Ford,RB,CLE,89
Travis Etienne Jr.,RB,JAX,90
Stefon Diggs,WR,NE,91
David Njoku,TE,CLE,92
Evan Engram,TE,DEN,93
Braelon Allen,RB,NYJ,94
Austin Ekeler,RB,WAS,95
Michael Pittman Jr.,WR,IND,96
Jakobi Meyers,WR,LV,97
Deebo Samuel Sr.,WR,WAS,98
Jacory Croskey-Merritt,RB,WAS,99
Javonte Williams,RB,DAL,100
Drake Maye,QB,NE,101
Justin Herbert,QB,LAC,102
Tank Bigsby,RB,JAX,103
Caleb Williams,QB,CHI,104
Dallas Goedert,TE,PHI,105
Emeka Egbuka,WR,TB,106
Kyler Murray,QB,ARI,107
Rashee Rice,WR,KC,108
Jauan Jennings,WR,SF,109
Khalil Shakir,WR,BUF,110
Rashid Shaheed,WR,NO,111
Jake Ferguson,TE,DAL,112
Tyler Allgeier,RB,ATL,113
Dalton Kincaid,TE,BUF,114
Rachaad White,RB,TB,115
Dylan Sampson,RB,CLE,116
Rashod Bateman,WR,BAL,117
C.J. Stroud,QB,HOU,118
Rhamondre Stevenson,RB,NE,119
Josh Downs,WR,IND,120
Hunter Henry,TE,NE,121
Tyler Warren,TE,IND,122
Trevor Lawrence,QB,JAX,123
Cooper Kupp,WR,SEA,124
Trey Benson,RB,ARI,125
Najee Harris,RB,LAC,126
Christian Kirk,WR,HOU,127
J.J. McCarthy,QB,MIN,128
Bhayshul Tuten,RB,JAX,129
Nick Chubb,RB,HOU,130
Cam Skattebo,RB,NYG,131
Tyjae Spears,RB,TEN,132
Darnell Mooney,WR,ATL,133
Bryce Young,QB,CAR,134
Matthew Golden,WR,GB,135
Michael Penix Jr.,QB,ATL,136
Geno Smith,QB,LV,137
Zach Ertz,TE,WAS,138
Marvin Mims Jr.,WR,DEN,139
Keon Coleman,WR,BUF,140
Chris Godwin Jr.,WR,TB,141
Isaac Guerendo,RB,SF,142
Joe Mixon,RB,HOU,143
Ray Davis,RB,BUF,144
Chig Okonkwo,TE,TEN,145
Rico Dowdle,RB,CAR,146
Matthew Stafford,QB,LAR,147
Tua Tagovailoa,QB,MIA,148
DeMario Douglas,WR,NE,149
Denver Broncos,D/ST,DEN,150
Kaleb Johnson,RB,PIT,151
Roschon Johnson,RB,CHI,152
Wan'Dale Robinson,WR,NYG,153
Jayden Reed,WR,GB,154
Jonnu Smith,TE,PIT,155
Chris Rodriguez Jr.,RB,WAS,156
Brandon Aiyuk,WR,SF,157
Joshua Palmer,WR,BUF,158
Jaylen Wright,RB,MIA,159
Kyle Pitts Sr.,TE,ATL,160
Pittsburgh Steelers,D/ST,PIT,161
Blake Corum,RB,LAR,162
Aaron Rodgers,QB,PIT,163
Philadelphia Eagles,D/ST,PHI,164
Romeo Doubs,WR,GB,165
Marquise Brown,WR,KC,166
Keenan Allen,WR,LAC,167
Cedric Tillman,WR,CLE,168
Adam Thielen,WR,MIN,169
Jayden Higgins,WR,HOU,170
Minnesota Vikings,D/ST,MIN,171
MarShawn Lloyd,RB,GB,172
Baltimore Ravens,D/ST,BAL,173
Will Shipley,RB,PHI,174
Colston Loveland,TE,CHI,175
Jaydon Blue,RB,DAL,176
Alec Pierce,WR,IND,177
Brenton Strange,TE,JAX,178
Brandon Aubrey,K,DAL,179
Tory Horton,WR,SEA,180
Miles Sanders,RB,DAL,181
Houston Texans,D/ST,HOU,182
Kansas City Chiefs,D/ST,KC,183
Los Angeles Chargers,D/ST,LAC,184
Buffalo Bills,D/ST,BUF,185
Detroit Lions,D/ST,DET,186
Kenneth Gainwell,RB,PIT,187
Cameron Dicker,K,LAC,188
Pat Freiermuth,TE,PIT,189
Dalton Schultz,TE,HOU,190
Dont'e Thornton Jr.,WR,LV,191
Ka'imi Fairbairn,K,HOU,192
Cleveland Browns,D/ST,CLE,193
Seattle Seahawks,D/ST,SEA,194
Jake Bates,K,DET,195
Chris Boswell,K,PIT,196
Quentin Johnston,WR,LAC,197
Xavier Legette,WR,CAR,198
Luther Burden III,WR,CHI,199
Roman Wilson,WR,PIT,200
Woody Marks,RB,HOU,201
Michael Wilson,WR,ARI,202
New England Patriots,D/ST,NE,203
Wil Lutz,K,DEN,204
DeAndre Hopkins,WR,BAL,205
Jaylin Noel,WR,HOU,206
Harrison Butker,K,KC,207
Sean Tucker,RB,TB,208
Evan McPherson,K,CIN,209
San Francisco 49ers,D/ST,SF,210
Sam Darnold,QB,SEA,211
Chase McLaughlin,K,TB,212
Jordan James,RB,SF,213
Cade Otton,TE,TB,214
Isaiah Likely,TE,BAL,215
Mike Gesicki,TE,CIN,216
Kyle Williams,WR,NE,217
Juwan Johnson,TE,NO,218
Green Bay Packers,D/ST,GB,219
Isaac TeSlaa,WR,DET,220
Ty Johnson,RB,BUF,221
Keaton Mitchell,RB,BAL,222
Kendre Miller,RB,NO,223
Andrei Iosivas,WR,CIN,224
Kayshon Boutte,WR,NE,225
Jake Elliott,K,PHI,226
Daniel Carlson,K,LV,227
Jason Sanders,K,MIA,228
Justice Hill,RB,BAL,229
Dontayvion Wicks,WR,GB,230
Jarquez Hunter,RB,LAR,231
Tyler Bass,K,BUF,232
Tyler Loop,K,BAL,233
Jalen Coker,WR,CAR,234
Chicago Bears,D/ST,CHI,235
Brian Robinson Jr.,RB,SF,236
Jaleel McLaughlin,RB,DEN,237
Darius Slayton,WR,NYG,238
Adonai Mitchell,WR,IND,239
Tre' Harris,WR,LAC,240
Cam Ward,QB,TEN,241
Daniel Jones,QB,IND,242
Russell Wilson,QB,NYG,243
Devin Singletary,RB,NYG,244
Tyler Lockett,WR,TEN,245
Elic Ayomanor,WR,TEN,246
Calvin Austin III,WR,PIT,247
Elijah Mitchell,RB,KC,248
New York Jets,D/ST,NYJ,249
Washington Commanders,D/ST,WAS,250
Antonio Gibson,RB,NE,251
Will Reichard,K,MIN,252
Cam Little,K,JAX,253
Theo Johnson,TE,NYG,254
Cole Kmet,TE,CHI,255
Ja'Tavion Sanders,TE,CAR,256
DJ Giddens,RB,IND,257
Harold Fannin Jr.,TE,CLE,258
Devaughn Vele,WR,NO,259
Quinshon Judkins,RB,CLE,260
Noah Gray,TE,KC,261
Pat Bryant,WR,DEN,262
Emanuel Wilson,RB,GB,263
Brandin Cooks,WR,NO,264
Kareem Hunt,RB,KC,265
Jack Bech,WR,LV,266
Jalen Royals,WR,KC,267
Nick Westbrook-Ikhine,WR,MIA,268
Dameon Pierce,RB,HOU,269
Tampa Bay Buccaneers,D/ST,TB,270
Los Angeles Rams,D/ST,LAR,271
Younghoe Koo,K,ATL,272
Matt Gay,K,WAS,273
Joe Flacco,QB,CLE,274
Kyle Monangai,RB,CHI,275
Raheem Mostert,RB,LV,276
Isaiah Davis,RB,NYJ,277
Darren Waller,TE,MIA,278
Khalil Herbert,RB,FA,279
Jalen Tolbert,WR,DAL,280
Dyami Brown,WR,JAX,281
Devin Neal,RB,NO,282
Ty Chandler,RB,MIN,283
Jaxson Dart,QB,NYG,284
Spencer Rattler,QB,NO,285
Malik Washington,WR,MIA,286
Parker Washington,WR,JAX,287
Elijah Moore,WR,BUF,288
Tre Tucker,WR,LV,289
Luke McCaffrey,WR,WAS,290
Marquez Valdes-Scantling,WR,SF,291
Dawson Knox,TE,BUF,292
Brashard Smith,RB,KC,293
